0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,diagnosis
0.63431954,0.789809,0.56449676,0.67022115,-0.6666664,-0.38414776,-0.25720683,-0.0020224373,-0.8125941,-0.49570674,0.2072807,0.07574559,0.08811078,0.56800425,-0.7531634,-0.5723069,-0.5829245,-0.4772449,-0.51314133,-0.03904364,0.6926197,0.9644089,0.6100549,0.76952255,-0.40561607,-0.3236144,-0.31499907,-0.012751913,0.18518546,0.21380289,M
-0.24142021,-1.1847132,-0.25046992,-0.2194082,0.38239756,-0.3373114,-0.19020255,0.067291796,0.47975978,-0.20034344,-0.36363634,-0.7470413,-0.3614798,-0.27020156,0.6019909,-0.43930635,-0.35446522,0.2156877,0.06758441,-0.38736573,-0.23033252,-1.1297358,-0.24915434,-0.22148933,0.23088941,-0.4733386,-0.39647081,-0.07232851,0.0059260265,-0.5974905,B
-0.11597627,0.4494998,-0.12130542,-0.08504405,-0.9979764,-0.13690613,0.018114531,-0.26971868,-0.65667164,-0.01831683,0.6839069,1.0399241,0.13668461,0.5945161,-0.08435972,1.2947975,1.0162905,0.35947952,1.0,2.017986,-0.08434719,0.17566024,-0.14044103,-0.062010452,-1.1569421,-0.121355414,-0.1727051,-0.4589646,-0.49629635,0.06853275,B
0.3692306,0.6606008,0.5439945,0.36950138,0.21396054,1.9548149,2.083171,1.1724582,0.725637,0.8792219,-0.2960016,-0.41675884,0.652923,-0.024695853,0.23755701,2.2054648,2.0961728,1.6435401,-0.46433038,1.1638515,0.23195462,0.2399541,0.64738137,0.24622741,0.33697358,2.5862882,2.5233715,1.4945166,0.063703686,1.7089769,M
1.2473372,0.24567796,1.2274047,1.4598773,-0.042488284,0.21496661,0.87261397,0.8084207,-0.30584735,-0.493417,2.0907104,1.1204039,1.8763062,2.4939167,1.514763,0.37099308,0.9793917,1.1790926,0.52941173,0.47642028,1.0364962,0.20436288,0.9856525,1.1867733,0.084243394,-0.026267376,0.4310118,0.489671,-0.7140741,-0.28378367,M
3.4958577,-0.078253016,3.4963267,5.205545,0.95902914,0.8904902,2.5389562,2.3195438,-0.4527737,-0.69261575,10.12771,0.53179723,11.109856,18.185217,2.425848,0.39726743,1.4928362,0.45438203,3.6458073,0.59004164,2.139497,-0.8048221,2.1194448,2.9943104,-0.5273009,-0.34200156,0.3390276,0.5967865,-1.7407408,-1.1988417,M
-0.31715977,-0.59144676,-0.31539392,-0.27486014,0.100657836,-0.30969003,-0.1742306,-0.2704541,0.8395802,-0.18546061,-0.39904514,0.18305182,-0.49082178,-0.3163247,-0.0985321,-0.107199185,-0.22728169,-0.5583434,0.1276595,-0.22987497,-0.2027575,-0.066590115,-0.23025787,-0.19048405,0.20592846,-0.08615713,-0.01163885,-0.25177255,0.823704,-0.04102314,B
0.21538456,0.5131938,0.25457022,0.23087169,0.15123925,0.2630039,0.7060771,0.416253,0.25787097,-0.0057237693,-0.1647105,-0.18936406,0.1959899,0.0014526605,-0.12923904,0.5144508,0.87497544,0.10065435,0.19774717,0.39087507,0.15733986,0.5602757,0.43275392,0.19163842,0.42121696,1.0879958,1.0842876,0.44580466,1.1377782,1.0284749,M
0.02130181,0.13284796,-0.011618109,0.05065316,-0.2407687,-0.44134203,-0.007985973,0.01912117,-0.60269904,-0.525472,0.56614286,0.012624108,0.46992376,0.6729617,-0.08705925,-0.5007882,-0.17075568,-0.21094252,-0.4380475,-0.55406886,0.49635023,0.50401855,0.44208556,0.51158565,0.2808113,-0.32624117,0.12990429,0.15302211,0.090370364,-0.307915,M
1.6899406,0.46587798,1.5827781,2.02506,-0.59129983,-0.13210239,0.3021036,0.49420848,-0.9955026,-1.0910128,1.4322658,-0.1546474,1.6006778,2.1292899,0.5729711,0.5869679,0.65593714,0.8339924,-0.66207755,0.35183144,1.5085156,0.07921935,1.494226,1.7590501,-0.25897032,0.075650066,0.32288346,0.44376433,-0.8666666,-0.42567587,M
