columna,n,media,std,ks_stat,pvalor
radius_mean,569,14.127291743072348,3.5240488129671963,0.11270765460238275,9.434615942079468e-07
texture_mean,569,19.289648528677297,4.301035792275389,0.04907551666687021,0.12480652525850733
perimeter_mean,569,91.96903329993384,24.29898094618707,0.12068410802310792,1.1144005619352142e-07
area_mean,569,654.889103814043,351.9141288613974,0.15599519705803155,1.4710370511848194e-12
smoothness_mean,569,0.09636028129312821,0.01406412801167986,0.035967277921341134,0.4430368094132554
compactness_mean,569,0.10434098429781481,0.05281275807458227,0.101113257175168,1.618763219558352e-05
concavity_mean,569,0.08879931578830029,0.07971980885275737,0.13961570201171758,3.8748646437568703e-10
concave_points_mean,569,0.04891914597230428,0.03880284499915187,0.1575994139845191,8.238423305538421e-13
symmetry_mean,569,0.18116186307792295,0.027414281697364738,0.05168498701763735,0.09236302864560586
fractal_dimension_mean,569,0.06279760972974799,0.007060362859462229,0.09475328581583786,6.746943189587731e-05
radius_se,569,0.40517205624515434,0.27731273103393916,0.16850295662249737,1.3638457963814451e-14
texture_se,569,1.2168534254566856,0.5516483938812107,0.08895731867428058,0.00022846678865911927
perimeter_se,569,2.8660592201095474,2.021854536795029,0.16599276942775532,3.59416301915885e-14
area_se,569,40.33707911519887,45.49100533347043,0.23295874133302624,1.2259080590528652e-27
smoothness_se,569,0.007040978908565007,0.003002517919151388,0.12100359869325383,1.0198806978807622e-07
compactness_se,569,0.025478138811378913,0.01790817919899339,0.1285773025736915,1.1639345005099827e-08
concavity_se,569,0.03189371635352535,0.0301860601467103,0.1453537062318797,5.906534264443169e-11
concave_points_se,569,0.011796137079660353,0.0061702851657568095,0.0800608366511727,0.00127836649905158
symmetry_se,569,0.020542298759512197,0.008266371517617575,0.13487677834099965,1.7288315646323637e-09
fractal_dimension_se,569,0.0037949038734937804,0.0026460709739509606,0.15597214498912237,1.4832776093733849e-12
radius_worst,569,16.269189776770887,4.833241591272438,0.13803299140026914,6.422554394611708e-10
texture_worst,569,25.67722316534113,6.146257611231103,0.04090945424815817,0.2889042066794022
perimeter_worst,569,107.26121279644421,33.6025422645089,0.12808288667272305,1.3465732933910086e-08
area_worst,569,880.5831290514901,569.3569923849645,0.18904770110038488,2.7958123145183064e-18
smoothness_worst,569,0.13236859435565862,0.0228324295591871,0.03547025042457286,0.46078165239124835
compactness_worst,569,0.25426504394016597,0.15733648854662946,0.11544607890267389,4.6073906984799734e-07
concavity_worst,569,0.2721884833807977,0.20862428007810735,0.10297391761816682,1.0475176128916397e-05
concave_points_worst,569,0.11460622294146325,0.06573234105890069,0.09581924588852353,5.345996660146408e-05
symmetry_worst,569,0.2900755708948799,0.061867468184841706,0.09000095845145994,0.00018446698682124282
fractal_dimension_worst,569,0.08394581713895387,0.018061267276754212,0.11751543783058582,2.649919522392688e-07
